title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,star_power_score,is_animated,is_live_action,is_franchise,is_sequel,is_standalone,lead_actor_clean
Captain America: Civil War,2016,2016-05-06,408084349,745211944,1153296293,250000000,903296293,3.613185172,91,414,"Action & Adventure, Science Fiction & Fantasy",146,Anthony Russo,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,0,A,well_known,68.28970332,0,1,0,0,1,chris evans robert downey jr. scarlett johansson sebastian stan anthony mackie
Rogue One: A Star Wars Story,2016,2016-12-16,532177324,523879949,1056057273,280200000,775857273,2.768941017,84,446,"Action & Adventure, Drama, Science Fiction & Fantasy",134,Gareth Edwards (V),Felicity Jones Diego Luna Ben Mendelsohn Donnie Yen Peter Cushing,0,A,well_known,67.67888307,0,1,1,0,0,felicity jones diego luna ben mendelsohn donnie yen peter cushing
Finding Dory,2016,2016-06-17,486295561,542275328,1028570889,200000000,828570889,4.142854445,94,329,Animation,103,"Andrew Stanton, Angus MacLane",Ellen DeGeneres Albert Brooks Hayden Rolence Ed O'Neill  Kaitlin Olson Ty Burrell,0,A,well_known,67.31239092,1,0,0,0,1,ellen degeneres albert brooks hayden rolence ed o'neill  kaitlin olson ty burrell
Zootopia,2016,2016-03-04,341268248,682515947,1023784195,150000000,873784195,5.825227967,98,291,"Action & Adventure, Animation, Comedy",108,"Byron Howard, Rich Moore, Jared Bush",Ginnifer Goodwin Jason Bateman Idris Elba Jenny Slate,0,A,well_known,67.19022688,1,0,0,0,1,ginnifer goodwin jason bateman idris elba jenny slate
The Jungle Book,2016,2016-04-15,364001123,602549477,966550600,175000000,791550600,4.523146286,94,323,"Action & Adventure, Kids & Family",105,Jon Favreau,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,0,A,well_known,67.06806283,0,1,0,0,1,neel sethi bill murray ben kingsley idris elba scarlett johansson
The Secret Life of Pets,2016,2016-07-08,368623860,507073607,875697467,75000000,800697467,10.67596623,73,232,"Animation, Comedy",91,"Yarrow Cheney, Chris Renaud",Louis C.K. Eric Stonestreet Kevin Hart Jenny Slate Lake Bell,0,A,well_known,66.57940663,1,0,0,0,1,louis c.k. eric stonestreet kevin hart jenny slate lake bell
Batman v Superman: Dawn of Justice,2016,2016-03-23,330360194,544000000,874360194,250000000,624360194,2.497440776,28,423,"Action & Adventure, Science Fiction & Fantasy",153,Zack Snyder,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,0,A,well_known,66.45724258,0,1,1,1,0,ben affleck henry cavill gal gadot amy adams jesse eisenberg
Fantastic Beasts and Where to Find Them,2016,2016-11-18,234037575,582000000,816037575,175000000,641037575,3.663071857,74,338,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",127,David Yates (II),Eddie Redmayne Katherine Waterston Dan Fogler Ezra Miller Alison Sudol,0,A,well_known,65.72425829,0,1,0,0,1,eddie redmayne katherine waterston dan fogler ezra miller alison sudol
Deadpool,2016,2016-02-12,363070709,419541446,782612155,58000000,724612155,12.49331302,85,342,"Action & Adventure, Comedy, Science Fiction & Fantasy",108,Tim Miller,Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano,0,A,well_known,65.35776614,0,1,0,0,1,ryan reynolds morena baccarin ed skrein t.j. miller gina carano
Suicide Squad,2016,2016-08-05,325100054,424100000,749200054,175000000,574200054,3.281143166,26,378,Action & Adventure,123,David Ayer,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,0,A,well_known,65.11343805,0,1,0,0,1,will smith margot robbie joel kinnaman viola davis jared leto
Doctor Strange,2016,2016-11-04,232641920,445076475,677718395,165000000,512718395,3.107384212,89,373,"Action & Adventure, Science Fiction & Fantasy",115,Scott Derrickson,Benedict Cumberbatch Benedict Wong Rachel McAdams Chiwetel Ejiofor Tilda Swinton,0,A,well_known,64.62478185,0,1,0,0,1,benedict cumberbatch benedict wong rachel mcadams chiwetel ejiofor tilda swinton
Moana,2016,2016-11-23,248757044,394574067,643331111,162500000,480831111,2.958960683,95,279,"Action & Adventure, Animation, Kids & Family",113,"Ron Clements, John Musker, Chris Williams (IX), Don Hall",Dwayne Johnson  Auliʻi Cravalho Jemaine Clement Alan Tudyk Lin-Manuel Miranda,0,A,well_known,64.13612565,1,0,0,0,1,dwayne johnson  auliʻi cravalho jemaine clement alan tudyk lin-manuel miranda
Sing,2016,2016-12-21,270395425,363756254,634151679,75000000,559151679,7.45535572,72,183,"Animation, Comedy, Musical & Performing Arts",108,"Garth Jennings, Christophe Lourdelet",Reese Witherspoon Scarlett Johansson Tori Kelly Nick Kroll Taron Egerton,0,A,well_known,64.01396161,1,0,0,0,1,reese witherspoon scarlett johansson tori kelly nick kroll taron egerton
X-Men: Apocalypse,2016,2016-05-27,155442489,388491616,543934105,178000000,365934105,2.055809579,47,340,"Action & Adventure, Science Fiction & Fantasy",143,Bryan Singer,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,0,B,well_known,62.91448517,0,1,1,1,0,james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac
Kung Fu Panda 3,2016,2016-01-29,143528619,377642206,521170825,145000000,376170825,2.594281552,87,177,Animation,95,"Alessandro Carloni, Jennifer Yuh Nelson",Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,0,B,well_known,61.81500873,1,0,0,1,0,jack black bryan cranston dustin hoffman angelina jolie j.k. simmons
La La Land,2016,2016-12-09,151101803,296305892,447407695,30000000,417407695,13.91358983,91,458,"Comedy, Drama, Musical & Performing Arts",128,Damien Chazelle,Emma Stone Ryan Gosling John Legend J. K. Simmons Sonoya Mizuno,0,B,well_known,60.71553229,0,1,0,0,1,emma stone ryan gosling john legend j. k. simmons sonoya mizuno
Warcraft,2016,2016-06-10,47365290,391683624,439048914,160000000,279048914,1.744055713,28,231,"Action & Adventure, Science Fiction & Fantasy",123,Duncan Jones,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,0,B,well_known,60.47120419,0,1,0,0,1,paula patton travis fimmel ben foster robert kazinsky dominic cooper
Jason Bourne,2016,2016-07-29,162434410,253050504,415484914,120000000,295484914,2.462374283,54,322,"Action & Adventure, Drama",123,Paul Greengrass,Matt Damon Alicia Vikander Tommy Lee Jones Vincent Cassel Julia Stiles,0,B,well_known,59.61605585,0,1,0,0,1,matt damon alicia vikander tommy lee jones vincent cassel julia stiles
