title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,is_animated,is_live_action,is_franchise,is_sequel,is_standalone
How to Train Your Dragon: The Hidden World,2019,2019-02-22,160799505.0,361000000.0,521799505.0,,,,90.0,263.0,"Action & Adventure, Animation, Kids & Family",104.0,Dean DeBlois,,0,,,1,0,0,0,1
Maleficent: Mistress of Evil,2019,2019-10-18,113929605.0,377800484.0,491730089.0,,,,40.0,251.0,"Action & Adventure, Science Fiction & Fantasy",118.0,Joachim Rønning,,0,,,0,1,0,0,1
It Chapter Two,2019,2019-09-06,211593228.0,261500000.0,473093228.0,,,,63.0,367.0,Horror,169.0,Andy Muschietti,,0,,,0,1,0,0,1
The Secret Life of Pets 2,2019,2019-06-07,158980250.0,272184209.0,431164459.0,,,,60.0,159.0,"Animation, Comedy",86.0,"Chris Renaud, Jonathan Del Val",,0,,,1,0,0,1,0
The Captain,2019,2019-10-18,706572.0,417156973.0,417863545.0,,,,75.0,8.0,"Action & Adventure, Drama",111.0,Wai-keung Lau,,0,,,0,1,0,0,1
Alita: Battle Angel,2019,2019-02-14,85838210.0,319142333.0,404980543.0,,,,61.0,324.0,"Action & Adventure, Romance",122.0,Robert Rodriguez,,0,,,0,1,0,0,1
Godzilla: King of the Monsters,2019,2019-05-31,110500138.0,276800000.0,387300138.0,,,,43.0,338.0,"Action & Adventure, Science Fiction & Fantasy",132.0,Michael Dougherty,,0,,,0,1,0,0,1
Shazam!,2019,2019-04-05,140371656.0,225600000.0,365971656.0,,,,90.0,404.0,"Action & Adventure, Science Fiction & Fantasy",132.0,David F. Sandberg,,0,,,0,1,0,0,1
Dumbo,2019,2019-03-29,114766307.0,238518314.0,353284621.0,,,,46.0,363.0,"Animation, Kids & Family, Science Fiction & Fantasy",112.0,Tim Burton,,0,,,1,0,0,0,1
John Wick: Chapter 3 - Parabellum,2019,2019-05-17,171015687.0,156761648.0,327777335.0,,,,90.0,343.0,"Action & Adventure, Drama",131.0,Chad Stahelski,,0,,,0,1,0,1,0
Knives Out,2019,2019-11-27,165363234.0,147534686.0,312897920.0,,,,97.0,454.0,"Drama, Mystery & Suspense",130.0,Rian Johnson,,0,,,0,1,0,0,1
Terminator: Dark Fate,2019,2019-11-01,62253077.0,198866215.0,261119292.0,,,,70.0,335.0,"Action & Adventure, Drama, Science Fiction & Fantasy",128.0,,,0,,,0,1,0,0,1
Us,2019,2019-03-22,175084580.0,80938127.0,256022707.0,,,,93.0,535.0,"Horror, Mystery & Suspense",116.0,Jordan Peele,,0,,,0,1,0,0,1
